trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
609,False,"{'a': 0.05, 'e': 0.44710267461190406}",20,12,-42.36513167774717,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
610,False,"{'a': 0.05, 'e': 0.44547560441756884}",30,0,-0.4581060405774873,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
611,False,"{'a': 0.05, 'e': 0.44384706157701337}",20,13,-7.452919836433,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
612,False,"{'a': 0.05, 'e': 0.4422170514738484}",20,12,14.325551277156869,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
613,False,"{'a': 0.05, 'e': 0.440585579496536}",20,0,-15.194478953724428,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
614,False,"{'a': 0.05, 'e': 0.4389526510383701}",20,13,12.600050954935355,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
615,False,"{'a': 0.05, 'e': 0.4373182714974602}",35,5,-1.6616311448347407,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",1
616,False,"{'a': 0.05, 'e': 0.4356824462767121}",25,15,3.7963941385760958,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
617,False,"{'a': 0.05, 'e': 0.4340451807838112}",30,0,-24.54102049529282,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
618,False,"{'a': 0.05, 'e': 0.43240648043120383}",20,8,18.753167314706534,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
619,False,"{'a': 0.05, 'e': 0.43076635063607954}",20,3,-8.852169622002798,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
620,False,"{'a': 0.05, 'e': 0.4291247968203539}",20,0,-19.521008660719176,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
621,False,"{'a': 0.05, 'e': 0.42748182441064925}",20,0,-52.55440081031624,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
622,False,"{'a': 0.05, 'e': 0.4258374388382781}",30,17,-11.895010019991926,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
623,False,"{'a': 0.05, 'e': 0.4241916455392241}",20,15,-5.652349816702369,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
624,False,"{'a': 0.05, 'e': 0.42254444995412505}",20,0,-123.1588824083722,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
625,False,"{'a': 0.05, 'e': 0.42089585752825376}",30,12,-16.406732490979927,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
626,False,"{'a': 0.05, 'e': 0.41924587371150135}",20,6,12.187976606399335,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
627,False,"{'a': 0.05, 'e': 0.4175945039583582}",25,0,-6.5759345986894076,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
